framework,model,site,params,logrows,prove_s,verify_s,cpu_pct,peak_mem_mb,proof_kb,mean_abs_err,median_abs_err,mse_float,verified
ezkl,linear,68,4632,12,0.7939,0.0324,473.6,315.8,29.794,,,0.036199,True
ezkl,linear,69,4632,12,0.8635,0.032,482.9,321.7,29.867,,,0.026187,True
ezkl,linear,70,4632,12,0.862,0.0289,457.1,324.8,29.771,,,0.044695,True
ezkl,linear,71,4632,12,0.789,0.0313,470.2,328.2,29.775,,,0.078514,True
ezkl,linear,72,4632,12,0.8312,0.0291,481.2,328.0,29.724,,,0.045087,True
ezkl,linear,73,4632,12,0.832,0.0281,480.8,326.9,29.782,,,0.048241,True
ezkl,linear,74,4632,12,0.8272,0.0293,481.1,327.0,29.814,,,0.040306,True
ezkl,linear,75,4632,12,0.8132,0.0313,490.6,328.0,29.725,,,0.131507,True
ezkl,linear,76,4632,12,0.8064,0.0281,488.6,327.9,29.855,,,0.037746,True
ezkl,linear,77,4632,12,0.8003,0.0292,467.3,320.2,29.808,,,0.039811,True
ezkl,linear,78,4632,12,0.8075,0.0307,476.8,320.4,29.818,,,0.055935,True
ezkl,linear,79,4632,12,0.8222,0.0303,463.4,323.2,29.81,,,0.044693,True
ezkl,linear,80,4632,12,0.8417,0.0305,462.2,325.9,29.831,,,0.032694,True
ezkl,linear,81,4632,12,0.8344,0.0277,466.2,324.8,29.731,,,0.042757,True
ezkl,linear,82,4632,12,0.7942,0.0321,460.8,323.0,29.93,,,0.327277,True
ezkl,linear,83,4632,12,0.8458,0.0296,481.2,323.0,29.796,,,0.794174,True
ezkl,linear,84,4632,12,0.8377,0.0286,481.1,327.0,29.886,,,0.320256,True
ezkl,linear,85,4632,12,0.8241,0.0297,491.4,329.8,29.835,,,0.005328,True
ezkl,linear,86,4632,12,0.8081,0.0305,478.9,329.7,29.738,,,0.090131,True
ezkl,linear,87,4632,12,1.0266,0.0558,488.0,329.7,29.856,,,0.13348,True
ezkl,linear,88,4632,12,1.075,0.03,470.7,323.7,29.789,,,0.004253,True
ezkl,linear,89,4632,12,0.8126,0.0283,480.0,326.8,29.846,,,0.004946,True
ezkl,linear,90,4632,12,0.8358,0.0324,477.4,328.7,29.799,,,0.006926,True
ezkl,linear,91,4632,12,0.8221,0.031,481.7,331.5,29.741,,,0.001389,True
ezkl,linear,92,4632,12,0.837,0.0286,483.9,331.6,29.78,,,0.059579,True
ezkl,linear,93,4632,12,0.8175,0.0323,481.9,331.5,29.752,,,0.002678,True
ezkl,linear,94,4632,12,0.7864,0.0277,465.4,327.0,29.839,,,0.002658,True
ezkl,linear,95,4632,12,0.801,0.0272,488.1,327.0,29.756,,,0.026112,True
ezkl,linear,96,4632,12,0.8363,0.0302,462.7,332.0,29.795,,,0.100803,True
ezkl,linear,97,4632,12,0.8198,0.0286,461.1,327.6,29.771,,,0.033234,True
ezkl,linear,98,4632,12,0.8803,0.0303,464.6,330.8,29.776,,,0.043105,True
ezkl,linear,99,4632,12,0.8523,0.0303,469.3,334.0,29.816,,,0.084495,True
ezkl,linear,100,4632,12,0.8126,0.0281,478.7,324.1,29.744,,,0.026937,True
ezkl,linear,101,4632,12,1.114,0.0328,499.1,323.8,29.794,,,0.018674,True
ezkl,linear,102,4632,12,0.8089,0.0296,487.1,328.0,29.745,,,0.068383,True
ezkl,linear,103,4632,12,0.8458,0.0266,482.4,320.9,29.757,,,0.072589,True
ezkl,linear,104,4632,12,0.8094,0.0293,485.5,317.3,29.745,,,0.015366,True
ezkl,linear,105,4632,12,0.8507,0.0308,478.4,317.3,29.812,,,0.030027,True
