framework,model,site,params,bit_len,prove_s,verify_s,inference_s,context_s,proof_kb,peak_mem_mb,wall_s,affine_recon_err,mse_float,verified
deepprove,dlinear,121,9264,12,0.881,0.016,0.001,0.41,40.033203125,4174.6,1.427,1.9371509552001953e-07,0.126249,True
deepprove,dlinear,122,9264,12,1.087,0.017,0.001,0.45,40.033203125,4174.6,1.674,3.5762786865234375e-07,0.025675,True
deepprove,dlinear,123,9264,12,1.038,0.016,0.001,0.476,40.033203125,4174.6,1.647,6.92903995513916e-07,0.102425,True
deepprove,dlinear,124,9264,12,0.808,0.018,0.001,0.36,40.033203125,4174.6,1.3,5.960464477539062e-07,0.03111,True
deepprove,dlinear,125,9264,12,1.135,0.017,0.001,0.369,40.033203125,4174.6,1.637,4.172325134277344e-07,0.441557,True
deepprove,dlinear,126,9264,12,0.854,0.017,0.001,0.353,40.033203125,4174.6,1.341,5.364418029785156e-07,0.043286,True
deepprove,dlinear,127,9264,12,0.839,0.018,0.001,0.38,40.033203125,4174.6,1.356,5.662441253662109e-07,0.27497,True
deepprove,dlinear,128,9264,12,0.897,0.02,0.001,0.357,40.033203125,4174.6,1.395,1.043081283569336e-06,1.136743,True
deepprove,dlinear,129,9264,12,0.801,0.017,0.001,0.529,40.033203125,4174.6,1.469,5.364418029785156e-07,0.167486,True
deepprove,dlinear,130,9264,12,0.867,0.018,0.001,0.403,40.033203125,4174.6,1.4,5.364418029785156e-07,0.758055,True
deepprove,dlinear,131,9264,12,1.054,0.021,0.001,0.41,40.033203125,4174.6,1.603,5.960464477539062e-07,0.121899,True
deepprove,dlinear,132,9264,12,1.21,0.017,0.001,0.527,40.033203125,4174.6,1.871,4.172325134277344e-07,0.088872,True
deepprove,dlinear,133,9264,12,1.352,0.018,0.001,0.351,40.033203125,4174.6,1.843,7.152557373046875e-07,0.176343,True
deepprove,dlinear,134,9264,12,0.824,0.018,0.001,0.363,40.033203125,4174.6,1.328,4.172325134277344e-07,0.049443,True
deepprove,dlinear,135,9264,12,1.006,0.017,0.001,0.493,40.033203125,4174.6,1.632,7.152557373046875e-07,0.096475,True
deepprove,dlinear,136,9264,12,0.847,0.019,0.001,0.378,40.033203125,4174.8,1.36,3.5762786865234375e-07,0.015588,True
deepprove,dlinear,137,9264,12,0.84,0.017,0.001,0.367,40.033203125,4174.6,1.341,4.76837158203125e-07,0.028583,True
deepprove,dlinear,138,9264,12,1.076,0.017,0.001,0.361,40.033203125,4174.7,1.57,3.5762786865234375e-07,0.025377,True
deepprove,dlinear,139,9264,12,0.827,0.019,0.001,0.354,40.033203125,4174.6,1.311,5.364418029785156e-07,0.016605,True
deepprove,dlinear,140,9264,12,0.824,0.019,0.001,0.375,40.033203125,4174.6,1.337,4.76837158203125e-07,0.068466,True
deepprove,dlinear,141,9264,12,0.844,0.018,0.001,0.351,40.033203125,4174.8,1.331,7.152557373046875e-07,0.095247,True
deepprove,dlinear,142,9264,12,1.01,0.016,0.001,0.453,40.033203125,4174.6,1.6,3.5762786865234375e-07,0.089712,True
deepprove,dlinear,143,9264,12,0.801,0.016,0.001,0.359,40.033203125,4174.6,1.285,4.76837158203125e-07,0.0409,True
deepprove,dlinear,144,9264,12,0.862,0.017,0.001,0.363,40.033203125,4174.6,1.354,4.76837158203125e-07,0.065978,True
deepprove,dlinear,145,9264,12,1.003,0.019,0.001,0.366,40.033203125,4174.6,1.523,9.5367431640625e-07,0.068167,True
deepprove,dlinear,146,9264,12,0.82,0.017,0.001,0.366,40.033203125,4174.6,1.321,4.917383193969727e-07,0.026324,True
deepprove,dlinear,147,9264,12,0.846,0.017,0.001,0.374,40.033203125,4174.6,1.353,7.152557373046875e-07,0.108313,True
deepprove,dlinear,148,9264,12,0.785,0.019,0.001,0.361,40.033203125,4174.6,1.279,5.960464477539062e-07,0.019086,True
deepprove,dlinear,149,9264,12,1.028,0.018,0.001,0.451,40.033203125,4174.6,1.611,2.384185791015625e-07,0.016631,True
deepprove,dlinear,150,9264,12,0.803,0.017,0.001,0.357,40.033203125,4174.6,1.292,9.5367431640625e-07,0.025459,True
deepprove,dlinear,151,9264,12,0.857,0.018,0.001,0.348,40.033203125,4174.6,1.34,4.76837158203125e-07,0.023501,True
deepprove,dlinear,152,9264,12,1.006,0.018,0.001,0.411,40.033203125,4174.6,1.555,3.5762786865234375e-07,0.012635,True
deepprove,dlinear,153,9264,12,0.862,0.017,0.001,0.377,40.033203125,4174.6,1.377,8.344650268554688e-07,0.036797,True
deepprove,dlinear,154,9264,12,0.88,0.018,0.001,0.703,40.033203125,4174.6,1.714,4.76837158203125e-07,0.087137,True
deepprove,dlinear,155,9264,12,0.902,0.019,0.001,0.345,40.033203125,4174.7,1.383,1.7881393432617188e-07,0.022802,True
deepprove,dlinear,156,9264,12,0.903,0.017,0.001,0.543,40.033203125,4174.6,1.59,5.960464477539062e-07,0.104444,True
deepprove,dlinear,157,9264,12,0.934,0.019,0.001,0.368,40.033203125,4174.6,1.44,3.5762786865234375e-07,0.060134,True
deepprove,dlinear,158,9264,12,0.908,0.017,0.001,0.425,40.033203125,4174.6,1.479,2.384185791015625e-07,0.011661,True
deepprove,dlinear,159,9264,12,1.022,0.016,0.001,0.458,40.033203125,4174.6,1.612,5.960464477539062e-07,0.048444,True
deepprove,dlinear,160,9264,12,0.824,0.019,0.001,0.378,40.033203125,4174.6,1.338,3.5762786865234375e-07,0.029653,True
deepprove,dlinear,161,9264,12,0.821,0.019,0.001,0.354,40.033203125,4174.6,1.31,7.152557373046875e-07,0.029269,True
deepprove,dlinear,162,9264,12,0.992,0.018,0.001,0.345,40.033203125,4174.8,1.471,7.152557373046875e-07,0.018554,True
deepprove,dlinear,163,9264,12,0.832,0.017,0.001,0.436,40.033203125,4174.6,1.404,3.5762786865234375e-07,0.033279,True
deepprove,dlinear,164,9264,12,0.815,0.015,0.001,0.358,40.033203125,4174.6,1.301,8.344650268554688e-07,0.029192,True
deepprove,dlinear,165,9264,12,0.832,0.018,0.001,0.367,40.033203125,4174.6,1.33,1.430511474609375e-06,0.032217,True
deepprove,dlinear,166,9264,12,1.03,0.017,0.001,0.435,40.033203125,4174.6,1.604,3.5762786865234375e-07,0.04673,True
deepprove,dlinear,167,9264,12,0.818,0.017,0.001,0.381,40.033203125,4174.6,1.331,2.682209014892578e-07,0.005791,True
deepprove,dlinear,168,9264,12,0.842,0.017,0.001,0.378,40.033203125,4174.6,1.349,2.384185791015625e-07,0.023442,True
deepprove,dlinear,169,9264,12,0.904,0.02,0.001,0.353,40.033203125,4174.6,1.391,3.5762786865234375e-07,0.043677,True
deepprove,dlinear,170,9264,12,0.853,0.018,0.001,0.424,40.033203125,4174.6,1.412,5.960464477539062e-07,0.052103,True
deepprove,dlinear,171,9264,12,1.008,0.02,0.001,0.346,40.033203125,4174.6,1.494,3.5762786865234375e-07,0.030932,True
deepprove,dlinear,172,9264,12,0.901,0.019,0.001,0.403,40.033203125,4174.6,1.444,5.960464477539062e-07,0.01381,True
deepprove,dlinear,173,9264,12,1.167,0.017,0.001,0.529,40.033203125,4174.6,1.844,5.960464477539062e-07,0.04629,True
deepprove,dlinear,174,9264,12,1.021,0.019,0.001,0.655,40.033203125,4174.6,1.828,4.76837158203125e-07,0.019317,True
deepprove,dlinear,175,9264,12,0.854,0.02,0.001,0.407,40.033203125,4174.6,1.399,2.384185791015625e-07,0.012376,True
deepprove,dlinear,176,9264,12,0.924,0.02,0.001,0.484,40.033203125,4174.6,1.544,4.76837158203125e-07,0.014454,True
deepprove,dlinear,177,9264,12,0.833,0.018,0.001,0.357,40.033203125,4174.6,1.324,3.5762786865234375e-07,0.010695,True
deepprove,dlinear,178,9264,12,0.85,0.017,0.001,0.372,40.033203125,4174.6,1.349,2.384185791015625e-07,0.013485,True
deepprove,dlinear,179,9264,12,1.132,0.017,0.001,0.389,40.033203125,4174.6,1.655,3.5762786865234375e-07,0.028328,True
deepprove,dlinear,180,9264,12,0.851,0.017,0.001,0.369,40.033203125,4174.6,1.348,2.384185791015625e-07,0.01329,True
deepprove,dlinear,181,9264,12,0.845,0.018,0.001,0.377,40.033203125,4174.6,1.354,4.76837158203125e-07,0.01044,True
deepprove,dlinear,182,9264,12,0.89,0.02,0.001,0.361,40.033203125,4174.6,1.391,4.172325134277344e-07,0.00033,True
deepprove,dlinear,183,9264,12,0.844,0.019,0.001,0.461,40.033203125,4174.6,1.449,2.384185791015625e-07,0.054699,True
deepprove,dlinear,184,9264,12,0.819,0.02,0.001,0.395,40.033203125,4174.6,1.347,5.960464477539062e-07,0.015293,True
deepprove,dlinear,185,9264,12,0.817,0.016,0.001,0.364,40.033203125,4174.6,1.314,5.960464477539062e-07,0.014101,True
deepprove,dlinear,186,9264,12,1.049,0.017,0.001,0.341,40.033203125,4174.6,1.522,5.960464477539062e-07,0.011706,True
deepprove,dlinear,187,9264,12,0.832,0.016,0.001,0.416,40.033203125,4174.6,1.379,2.980232238769531e-07,0.023499,True
deepprove,dlinear,188,9264,12,0.825,0.017,0.001,0.371,40.033203125,4174.6,1.333,3.5762786865234375e-07,0.297082,True
deepprove,dlinear,189,9264,12,0.804,0.019,0.001,0.382,40.033203125,4174.6,1.33,5.960464477539062e-07,0.022944,True
deepprove,dlinear,190,9264,12,0.889,0.016,0.001,0.472,40.033203125,4174.6,1.499,3.5762786865234375e-07,0.011814,True
deepprove,dlinear,191,9264,12,0.823,0.017,0.001,0.361,40.033203125,4174.6,1.317,4.76837158203125e-07,0.010885,True
deepprove,dlinear,192,9264,12,0.87,0.017,0.001,0.377,40.033203125,4174.6,1.378,2.384185791015625e-07,0.063437,True
deepprove,dlinear,193,9264,12,1.127,0.019,0.001,0.373,40.033203125,4174.6,1.635,2.384185791015625e-07,0.026015,True
deepprove,dlinear,194,9264,12,1.054,0.035,0.001,0.38,40.033203125,4174.6,1.611,3.5762786865234375e-07,0.013567,True
deepprove,dlinear,195,9264,12,0.854,0.017,0.001,0.367,40.033203125,4174.6,1.367,3.5762786865234375e-07,0.144508,True
deepprove,dlinear,196,9264,12,1.014,0.018,0.001,0.39,40.033203125,4174.6,1.537,5.960464477539062e-07,0.169156,True
deepprove,dlinear,197,9264,12,0.852,0.017,0.001,0.366,40.033203125,4174.6,1.346,3.5762786865234375e-07,0.037028,True
deepprove,dlinear,198,9264,12,0.84,0.016,0.001,0.378,40.033203125,4174.6,1.351,3.5762786865234375e-07,0.011868,True
deepprove,dlinear,199,9264,12,0.781,0.017,0.001,0.345,40.033203125,4174.6,1.258,2.384185791015625e-07,0.032806,True
deepprove,dlinear,200,9264,12,1.094,0.018,0.001,0.427,40.033203125,4174.6,1.655,3.5762786865234375e-07,0.144579,True
deepprove,dlinear,201,9264,12,0.824,0.017,0.001,0.378,40.033203125,4174.6,1.333,7.152557373046875e-07,0.156816,True
deepprove,dlinear,202,9264,12,0.801,0.019,0.001,0.376,40.033203125,4174.6,1.316,3.5762786865234375e-07,0.010837,True
deepprove,dlinear,203,9264,12,0.913,0.02,0.001,0.366,40.033203125,4174.6,1.413,3.5762786865234375e-07,0.037971,True
deepprove,dlinear,204,9264,12,0.877,0.016,0.001,0.42,40.033203125,4174.6,1.429,7.152557373046875e-07,0.013056,True
deepprove,dlinear,205,9264,12,0.83,0.017,0.001,0.379,40.033203125,4174.6,1.342,3.5762786865234375e-07,0.035544,True
deepprove,dlinear,206,9264,12,0.826,0.018,0.001,0.369,40.033203125,4174.6,1.33,5.960464477539062e-07,0.010708,True
deepprove,dlinear,207,9264,12,1.047,0.016,0.001,0.373,40.033203125,4174.6,1.551,3.5762786865234375e-07,0.021408,True
deepprove,dlinear,208,9264,12,0.822,0.018,0.001,0.42,40.033203125,4174.6,1.378,8.344650268554688e-07,0.013759,True
deepprove,dlinear,209,9264,12,0.834,0.017,0.001,0.353,40.033203125,4174.6,1.322,4.76837158203125e-07,0.055084,True
deepprove,dlinear,210,9264,12,0.965,0.019,0.001,0.379,40.033203125,4174.6,1.482,5.960464477539062e-07,0.016438,True
deepprove,dlinear,211,9264,12,0.846,0.017,0.001,0.445,40.033203125,4174.6,1.431,5.960464477539062e-07,0.018095,True
deepprove,dlinear,212,9264,12,0.804,0.018,0.001,0.375,40.033203125,4174.8,1.314,3.5762786865234375e-07,0.061527,True
deepprove,dlinear,213,9264,12,0.796,0.018,0.001,0.366,40.033203125,4174.6,1.297,2.384185791015625e-07,0.022762,True
deepprove,dlinear,214,9264,12,1.022,0.018,0.001,0.382,40.033203125,4174.6,1.537,4.76837158203125e-07,0.034427,True
deepprove,dlinear,215,9264,12,1.178,0.016,0.001,0.351,40.033203125,4174.6,1.663,5.960464477539062e-07,0.013668,True
deepprove,dlinear,216,9264,12,0.797,0.019,0.001,0.375,40.033203125,4174.6,1.308,3.5762786865234375e-07,0.032527,True
deepprove,dlinear,217,9264,12,0.986,0.02,0.001,0.39,40.033203125,4174.6,1.514,5.960464477539062e-07,0.028179,True
deepprove,dlinear,218,9264,12,0.855,0.016,0.001,0.364,40.033203125,4174.6,1.359,5.960464477539062e-07,0.026897,True
deepprove,dlinear,219,9264,12,0.842,0.016,0.001,0.355,40.033203125,4174.6,1.324,4.76837158203125e-07,0.044006,True
deepprove,dlinear,220,9264,12,0.827,0.018,0.001,0.382,40.033203125,4174.7,1.34,2.980232238769531e-07,0.010742,True
deepprove,dlinear,221,9264,12,1.172,0.019,0.001,0.575,40.033203125,4174.6,1.888,7.152557373046875e-07,0.021726,True
deepprove,dlinear,222,9264,12,1.006,0.017,0.001,0.455,40.033203125,4174.6,1.61,5.960464477539062e-07,0.088389,True
deepprove,dlinear,223,9264,12,0.959,0.018,0.001,0.376,40.033203125,4174.6,1.465,4.76837158203125e-07,0.099555,True
deepprove,dlinear,224,9264,12,1.009,0.018,0.001,0.447,40.033203125,4174.6,1.588,2.384185791015625e-07,0.011955,True
deepprove,dlinear,225,9264,12,0.843,0.018,0.001,0.385,40.033203125,4174.6,1.36,3.5762786865234375e-07,0.018616,True
deepprove,dlinear,226,9264,12,0.838,0.019,0.001,0.359,40.033203125,4174.6,1.333,3.5762786865234375e-07,0.043442,True
deepprove,dlinear,227,9264,12,0.986,0.017,0.001,0.352,40.033203125,4174.6,1.467,4.76837158203125e-07,0.189357,True
deepprove,dlinear,228,9264,12,0.901,0.017,0.001,0.393,40.033203125,4174.6,1.428,4.76837158203125e-07,0.026314,True
deepprove,dlinear,229,9264,12,0.783,0.017,0.001,0.358,40.033203125,4174.6,1.278,4.76837158203125e-07,0.024786,True
deepprove,dlinear,230,9264,12,0.809,0.018,0.001,0.366,40.033203125,4174.6,1.318,3.5762786865234375e-07,0.033266,True
deepprove,dlinear,231,9264,12,1.033,0.018,0.001,0.44,40.033203125,4174.6,1.608,3.5762786865234375e-07,0.071702,True
deepprove,dlinear,232,9264,12,0.783,0.018,0.001,0.353,40.033203125,4174.6,1.267,4.76837158203125e-07,0.038261,True
