framework,model,site,params,bit_len,prove_s,verify_s,inference_s,context_s,proof_kb,peak_mem_mb,wall_s,affine_recon_err,mse_float,verified
deepprove,nlinear,92,4632,12,0.872,0.022,0.001,0.42,40.033203125,4174.6,1.437,3.5762786865234375e-07,0.0449,True
deepprove,nlinear,93,4632,12,1.086,0.018,0.001,0.537,40.033203125,4174.6,1.773,2.384185791015625e-07,0.003458,True
deepprove,nlinear,94,4632,12,1.114,0.018,0.001,0.426,40.033203125,4174.6,1.682,3.5762786865234375e-07,0.002808,True
deepprove,nlinear,95,4632,12,1.169,0.023,0.001,0.398,40.033203125,4174.6,1.714,4.172325134277344e-07,0.02675,True
deepprove,nlinear,96,4632,12,1.0,0.018,0.001,0.512,40.033203125,4174.6,1.66,9.5367431640625e-07,0.088305,True
deepprove,nlinear,97,4632,12,1.209,0.019,0.001,0.362,40.033203125,4174.6,1.717,2.384185791015625e-07,0.032667,True
deepprove,nlinear,98,4632,12,0.884,0.019,0.001,0.36,40.033203125,4174.6,1.379,3.5762786865234375e-07,0.058153,True
deepprove,nlinear,99,4632,12,0.844,0.019,0.001,0.486,40.033203125,4174.6,1.47,8.344650268554688e-07,0.069893,True
deepprove,nlinear,100,4632,12,0.826,0.017,0.001,0.365,40.033203125,4174.7,1.323,4.76837158203125e-07,0.029407,True
deepprove,nlinear,101,4632,12,0.836,0.018,0.001,0.386,40.033203125,4174.6,1.351,4.76837158203125e-07,0.016189,True
deepprove,nlinear,102,4632,12,1.051,0.017,0.001,0.416,40.033203125,4174.6,1.604,4.76837158203125e-07,0.058022,True
deepprove,nlinear,103,4632,12,0.982,0.019,0.001,0.349,40.033203125,4174.8,1.463,4.76837158203125e-07,0.093021,True
deepprove,nlinear,104,4632,12,1.085,0.019,0.001,0.421,40.033203125,4174.6,1.648,3.5762786865234375e-07,0.020971,True
deepprove,nlinear,105,4632,12,1.274,0.018,0.001,0.443,40.033203125,4174.6,1.871,4.76837158203125e-07,0.034127,True
deepprove,nlinear,106,4632,12,0.871,0.018,0.001,0.44,40.033203125,4174.6,1.444,2.980232238769531e-07,0.068964,True
deepprove,nlinear,107,4632,12,1.213,0.016,0.001,0.393,40.033203125,4174.6,1.747,1.1920928955078125e-06,0.177599,True
deepprove,nlinear,108,4632,12,1.488,0.019,0.001,0.657,40.033203125,4174.6,2.3,1.3113021850585938e-06,0.019926,True
deepprove,nlinear,109,4632,12,1.063,0.019,0.001,0.445,40.033203125,4174.6,1.676,7.152557373046875e-07,0.027332,True
deepprove,nlinear,110,4632,12,0.932,0.02,0.001,0.41,40.033203125,4174.6,1.484,7.152557373046875e-07,0.037359,True
